_id,book_title,book_author,book_description,image_urls,book_url,image_file_path
67422ee88868e4abd7479576,The Immortals of Meluha,Amish Tripathi,"1900 BC. In what modern Indians mistakenly call the Indus Valley Civilisation. The inhabitants of that period called it the land of Meluha – a near perfect empire created many centuries earlier by Lord Ram, one of the greatest monarchs that ever lived. This once proud empire and its Suryavanshi rulers face severe perils as its primary river, the revered",['https://covers.openlibrary.org/b/id/11152324-M.jpg'],https://openlibrary.org/works/OL15914981W/The_Immortals_of_Meluha?edition=ia%3Aisbn_9789380658742,photos/The Immortals of Meluha__4edd8990004664f56578f2ca3cefa6dbede712c8.jpg
67422ee98868e4abd7479577,Implementing public policy,George C. Edwards III,,['https://covers.openlibrary.org/b/id/4362727-M.jpg'],https://openlibrary.org/works/OL14991646W/Implementing_public_policy?edition=ia%3Aimplementingpubl0000edwa,photos/Implementing public policy__5d6ffae85cb052ed3ca32471413e1ef810cd3291.jpg
67422eed8868e4abd7479578,Modern naval combat,David Maxwell Owens Miller,,['https://covers.openlibrary.org/b/id/11334269-M.jpg'],https://openlibrary.org/works/OL41817W/Modern_naval_combat?edition=ia%3Amodernnavalcomba0000mill_n4x7,photos/Modern naval combat__a89ea0527c6e49a221098c1f57891bd81b767d74.jpg
67422eee8868e4abd7479579,Beyond entrepreneurship,"Collins, James C.",,['https://covers.openlibrary.org/b/id/14810951-M.jpg'],https://openlibrary.org/works/OL3486272W/Beyond_entrepreneurship?edition=ia%3Abeyondentreprene00coll,photos/Beyond entrepreneurship__482beb1c3e202f4f4431e3afb19c391cef16e7ed.jpg
67422ef08868e4abd747957a,Men are From Mars Women are From Venus,John Gray,"Once upon a time Martians and Venusians met, fell in love, and had happy relationships together because they respected and accepted their differences. Then they came to Earth and amnesia set in: they forgot they were from different planets.Based on years of successful counseling of couples and individuals, Men Are from Mars, Women Are from Venus has helped millions of couples transform their relationships. Now viewed as a modern classic, this phenomenal book has helped men and women realize how different they really are and how to communicate their needs in such a way that conflict doesn't arise and intimacy is given every chance to grow.
",['https://covers.openlibrary.org/b/id/14618688-M.jpg'],https://openlibrary.org/works/OL263458W/Men_are_From_Mars_Women_are_From_Venus?edition=ia%3Amenarefrommarswo00john_0,photos/Men are From Mars Women are From Venus__7947622a7ef4c08f2162a8740c219a0889355d53.jpg
67422ef18868e4abd747957b,The Joy of Sex,Alex Comfort,,['https://covers.openlibrary.org/b/id/9380813-M.jpg'],https://openlibrary.org/works/OL1174239W/The_joy_of_sex?edition=ia%3Anewjoyofsex0000comf_e0p0,photos/The Joy of Sex__71dd25ab31f3d2744c8ef5b8501e8ec0c05b7cff.jpg
67422ef38868e4abd747957c,The Inner Game of Tennis,W. Timothy Gallwey,"Concentrates upon overcoming mental attitudes that adversely affect tennis performance, including learning to relax, effectively concentrating, and discarding bad habits.
",['https://covers.openlibrary.org/b/id/421843-M.jpg'],https://openlibrary.org/works/OL2619508W/The_Inner_Game_of_Tennis?edition=ia%3Ainnergameoftenni00gall_0,photos/The Inner Game of Tennis__c25d73f5a6acec2427ea52a15247d31adb0cea8b.jpg
67422ef58868e4abd747957d,Outlander.,Diana Gabaldon,"Unrivaled storytelling. Unforgettable characters. Rich historical detail. These are the hallmarks of Diana Gabaldon’s work. Her New York Times bestselling Outlander novels have earned the praise of critics and captured the hearts of millions of fans. Here is the story that started it all, introducing two remarkable characters, Claire Beauchamp Randall and Jamie Fraser, in a spellbinding novel of passion and history that combines exhilarating adventure with a love story for the ages.
",['https://covers.openlibrary.org/b/id/9272729-M.jpg'],https://openlibrary.org/works/OL3261155W/Outlander?edition=ia%3Aoutlander00gaba_0,photos/Outlander.__ee8b19cdfeec2dffd10212e2ba49ed9ce2a1941a.jpg
67422ef58868e4abd747957e,My happy life,Rose Lagercrantz,"Dani has been waiting to go to school her whole life, and cannot wait for the joys it will bring, such as the friendship of Ella. However, school also brings many unexpected things that Dani isn't sure she is ready to face.
",['https://covers.openlibrary.org/b/id/8351540-M.jpg'],https://openlibrary.org/works/OL17725387W/My_happy_life?edition=ia%3Aisbn_9781877579356,photos/My happy life__61f94cef92aef3c93e0b62d7d536331f752821b3.jpg
67422ef78868e4abd747957f,The intelligent investor,Benjamin Graham,"The classic text of Benjamin Graham’s seminal The Intelligent Investor has now been revised and annotated to update the timeless wisdom for today’s market conditions.
",['https://covers.openlibrary.org/b/id/6603179-M.jpg'],https://openlibrary.org/works/OL823107W/The_intelligent_investor?edition=ia%3Aintelligentinves00grah,photos/The intelligent investor__ee6e6458446f12a9dbf681cf3633552c8004e6bc.jpg
